id,img_width_px,img_height_px,aspect_ratio,word_count,char_count,text_block_count,text_area_frac,graphic_area_frac,background_area_frac,text_share,text_to_graphic_ratio,mean_text_height_frac,max_text_height_frac,text_height_std_frac
overall_rating-00000,723,1023,0.7067448680351907,14,69,2,0.01634332888515729,0.24954943627142798,0.7341072348434147,0.06146586529171878,0.06549134764376348,0.012288786482334866,0.01857282502443793,0.002732912413179853
overall_rating-00001,575,1024,0.5615234375,4,9,4,0.05001868206521739,0.1840149456521739,0.7659663722826087,0.21372433762218881,0.27181858456085944,0.067138671875,0.07421875,0.007914826697972327
overall_rating-00002,779,1024,0.7607421875,3,13,2,0.03002020819961489,0.22533145458921694,0.7446483372111681,0.11756417746314307,0.13322688682919231,0.047200520833333336,0.060546875,0.0161911850461535
overall_rating-00003,625,1024,0.6103515625,6,45,4,0.0288109375,0.3415421875,0.629646875,0.07779315349370955,0.0843554282734106,0.025716145833333332,0.064453125,0.01809204847863314
overall_rating-00004,663,1024,0.6474609375,37,158,10,0.3345249457956259,0.22756704845399697,0.43790800575037714,0.5951426976685683,1.4700060842211549,0.03776921452702703,0.1572265625,0.045291046754626446
overall_rating-00005,681,1024,0.6650390625,4,18,3,0.02964247200807636,0.07056775422173274,0.8997897737701909,0.29580286487027946,0.42005689900426746,0.035888671875,0.037109375,0.0008097228492078613
overall_rating-00006,712,1024,0.6953125,0,0,0,0.0,0.9460833260182584,0.0539166739817416,0.0,0.0,0.0,0.0,0.0
overall_rating-00007,767,1024,0.7490234375,8,23,5,0.03441778031290743,0.5809655618481095,0.384616657838983,0.05592900872494191,0.0592423760944126,0.0335693359375,0.0390625,0.009107950612851932
overall_rating-00008,518,1024,0.505859375,0,0,0,0.0,0.6770443713803089,0.32295562861969107,0.0,0.0,0.0,0.0,0.0
overall_rating-00009,723,1024,0.7060546875,6,34,2,0.007269515041493776,0.08761913252074689,0.9051113524377593,0.07661100909595593,0.08296721084030893,0.009928385416666666,0.0107421875,0.00036394335571285634
overall_rating-00010,775,1024,0.7568359375,10,50,1,0.0077482358870967745,0.5004813508064516,0.49177041330645166,0.015245542742809258,0.01548156764405235,0.0099609375,0.0126953125,0.0020853668460998655
overall_rating-00011,768,1024,0.75,1,2,1,0.00107574462890625,0.5947214762369791,0.4042027791341146,0.0018055549627150767,0.0018088208882465128,0.01171875,0.01171875,0.0
overall_rating-00012,682,1024,0.666015625,8,44,4,0.015894199046920823,0.45336412894061584,0.5307416720124634,0.03387089391697054,0.03505835162579158,0.0185546875,0.0625,0.01708984375
overall_rating-00013,761,1024,0.7431640625,7,31,4,0.06680149474375821,0.7007278662943496,0.23247063896189224,0.08703444862800698,0.09533158014255051,0.051060267857142856,0.103515625,0.023976061449710758
overall_rating-00014,717,1024,0.7001953125,12,46,12,0.0259068274930265,0.5379034279114365,0.43618974459553694,0.045949549949994443,0.04816259973210646,0.021565755208333332,0.0283203125,0.005783722952874808
overall_rating-00015,1024,768,1.3333333333333333,3,15,2,0.00620269775390625,0.6722450256347656,0.3215522766113281,0.009142484439221596,0.009226840686622216,0.032552083333333336,0.061197916666666664,0.020283544176298476
overall_rating-00016,726,1024,0.708984375,0,0,0,0.0,0.7362097537878788,0.2637902462121212,0.0,0.0,0.0,0.0,0.0
overall_rating-00017,682,1024,0.666015625,2,7,1,0.0016552877565982405,0.26582546737536655,0.7325192448680351,0.006188436830835119,0.006226972054038914,0.01904296875,0.02734375,0.00830078125
overall_rating-00018,781,1024,0.7626953125,9,45,4,0.01611265604993598,0.1359647587227913,0.8479225852272727,0.10595035478486799,0.11850612027184858,0.018120659722222224,0.0322265625,0.00944696131062453
overall_rating-00019,768,1024,0.75,2,4,2,0.004208882649739583,0.5976842244466146,0.39810689290364576,0.006992741069995013,0.007041983839604456,0.029296875,0.0302734375,0.0009765625
overall_rating-00020,693,1023,0.6774193548387096,5,20,3,0.08261500636867206,0.11437796481784751,0.8030070288134805,0.41938047774531706,0.7222982722261275,0.06744868035190615,0.08699902248289346,0.014965911404891211
overall_rating-00021,744,1024,0.7265625,8,41,5,0.3606731455813172,0.22825048303091397,0.41107637138776876,0.6124277037945061,1.5801637779336837,0.089111328125,0.1669921875,0.03316630397451356
